# Residuals         
# Time              	p                   	Ux                  	Uy                  
0.58                	1.418339961166e-02	5.239260255474e-03	2.649339606509e-02
0.585               	1.439849610361e-02	5.387597991915e-03	2.708812975117e-02
0.59                	1.454395129800e-02	5.540178871366e-03	2.770652742961e-02
0.595               	1.470757271254e-02	5.695714005436e-03	2.827177429717e-02
0.6                 	1.482944580862e-02	5.857300236552e-03	2.877995036914e-02
0.605               	1.499520895156e-02	6.026992158560e-03	2.930320485218e-02
0.61                	1.529688216047e-02	6.200969478106e-03	2.990504864599e-02
0.615               	1.565998296874e-02	6.375220230859e-03	3.054489519396e-02
0.62                	1.586997924153e-02	6.548176910266e-03	3.120440653637e-02
0.625               	1.608884390206e-02	6.722183179722e-03	3.194803140163e-02
0.63                	1.628375813681e-02	6.890789518401e-03	3.268555096979e-02
0.635               	1.681279554804e-02	7.049042161462e-03	3.334084206714e-02
0.64                	1.710717445099e-02	7.205598940499e-03	3.389721835058e-02
0.645               	1.767432635501e-02	7.346639231113e-03	3.439077468511e-02
0.65                	1.797013519409e-02	7.485310240588e-03	3.483597214369e-02
0.655               	1.800756060064e-02	7.601309520203e-03	3.527232871140e-02
0.66                	1.802385712603e-02	7.707367933126e-03	3.566445984419e-02
0.665               	1.777766865794e-02	7.805804665157e-03	3.603706619638e-02
0.67                	1.743400299896e-02	7.910204482636e-03	3.642969660680e-02
0.675               	1.693097749702e-02	8.016780829529e-03	3.683794281704e-02
0.68                	1.645101119790e-02	8.118440592149e-03	3.721588795383e-02
0.685               	1.626475654216e-02	8.214588735217e-03	3.755265499220e-02
0.69                	1.600761971318e-02	8.317185205867e-03	3.785844969755e-02
0.695               	1.580176497591e-02	8.423416075685e-03	3.814751932221e-02
0.7                 	1.576909409931e-02	8.531113399637e-03	3.836962708281e-02
0.705               	1.590609449696e-02	8.637002806517e-03	3.856151988711e-02
0.71                	1.606912062833e-02	8.727476597951e-03	3.875070800125e-02
0.715               	1.612804624923e-02	8.787576247099e-03	3.896545275413e-02
0.72                	1.636960277342e-02	8.819933534696e-03	3.921064748002e-02
0.725               	1.636873697339e-02	8.821322391770e-03	3.960333992451e-02
0.73                	1.656299178144e-02	8.848127396526e-03	4.031144562460e-02
0.735               	1.704497417718e-02	8.837448452510e-03	4.114464900327e-02
0.74                	1.749417525880e-02	8.823615636104e-03	4.206598897661e-02
