# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous porous)	moments(pressure viscous porous)
0.13                	((5.434555296706e-03 -1.110312998120e-01 2.633901039687e-24) (-8.141733777925e-02 -1.398128449984e-05 2.872136131030e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.611500370278e-23 -1.862604689573e-23 -7.648482314048e-01) (1.710993692505e-18 -2.878694220469e-18 4.884421224061e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.135               	((4.593660640991e-03 -1.129555266100e-01 -4.447497660338e-24) (-9.316062683643e-02 -6.684804517536e-06 1.449798823083e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.648048224740e-23 2.749478687693e-23 -7.780199710295e-01) (8.698057901792e-18 -1.287956697229e-17 5.589637303223e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.14                	((3.721570719146e-03 -1.131541293268e-01 -3.167950562439e-24) (-1.041495293295e-01 1.152473060288e-05 -1.086820012380e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.844868684114e-23 2.192110783864e-23 -7.828908172570e-01) (-6.493522380383e-18 8.996444169304e-18 6.250230878628e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.145               	((2.823092072870e-03 -1.140407599909e-01 5.869854496016e-24) (-1.143214826324e-01 2.624877008252e-05 -2.877190517271e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.556859581449e-23 -3.828203197367e-23 -7.917116432285e-01) (-1.698501616913e-18 -9.499615832612e-20 6.861621922137e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.15                	((1.897750330851e-03 -1.114422483694e-01 -6.203616606927e-24) (-1.236574716975e-01 4.210955842785e-05 5.890721537485e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.728158244573e-23 4.138527236185e-23 -7.787498439732e-01) (3.511707557849e-18 -4.281641810995e-18 7.423045752525e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.155               	((9.378197146341e-04 -1.105080878264e-01 1.762968683052e-23) (-1.319291181067e-01 5.467509909933e-05 9.481734098279e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.058201848683e-22 -1.125603099112e-22 -7.765854742191e-01) (5.663371880283e-18 -5.734590781032e-18 7.920339337761e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.16                	((-4.893717453511e-05 -1.105982229664e-01 -5.210867157464e-23) (-1.389349573727e-01 6.601823109472e-05 1.800579432731e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.129367334487e-22 3.498059643049e-22 -7.832268531939e-01) (1.075713586843e-17 -1.179223395673e-17 8.341578733377e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.165               	((-1.068661811653e-03 -1.103826287267e-01 3.719432241460e-23) (-1.445628814282e-01 5.895684457260e-05 -2.795245871446e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.231234388983e-22 -2.332403801487e-22 -7.879355067733e-01) (-1.693206710726e-18 2.994929157645e-18 8.678866171103e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.17                	((-2.124556145340e-03 -1.087606924368e-01 -7.104236950339e-24) (-1.488258290267e-01 3.606815045452e-05 8.991761881768e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.243679047743e-23 3.695416070786e-23 -7.865529429825e-01) (5.385364759517e-18 -7.310295833534e-18 8.933031906521e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.175               	((-3.205968395362e-03 -1.107520107489e-01 -1.332759138583e-24) (-1.516456829155e-01 -4.288969318479e-07 1.684127808528e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-7.913124077079e-24 1.212854914322e-23 -8.092629874336e-01) (1.012106301405e-17 -1.294094924731e-17 9.099331148162e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.18                	((-4.318522549550e-03 -1.183577074225e-01 -7.058752322793e-23) (-1.533672013505e-01 6.699595312655e-06 -4.524731900725e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.258432722583e-22 4.784100762958e-22 -8.705177544389e-01) (-2.662050732391e-18 6.207022465493e-19 9.203484191631e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.185               	((-5.484354296462e-03 -1.228199623176e-01 2.972091840481e-23) (-1.543458205797e-01 -5.681315733778e-06 -1.592940050968e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.772268268017e-22 -2.055270780135e-22 -9.108390264862e-01) (-9.539890800921e-18 1.095664280152e-17 9.261273766584e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.19                	((-6.699154557823e-03 -1.232618538647e-01 -6.186320043231e-23) (-1.548720287475e-01 -9.402757875813e-06 -7.945872230501e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.687460926446e-22 4.396763175450e-22 -9.235012217880e-01) (-4.755925994025e-18 6.377282747186e-18 9.292367880558e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.195               	((-7.985258745148e-03 -1.187568482393e-01 6.945108420083e-23) (-1.551698998797e-01 -9.365801354283e-06 -6.476883896521e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.141363989651e-22 -4.424011058323e-22 -9.034558577535e-01) (-3.938748481984e-18 1.930127794039e-18 9.309910955426e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.2                 	((-9.341411234668e-03 -1.107190910267e-01 2.633534133233e-23) (-1.555680690776e-01 6.459462847989e-06 1.707913394451e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.567704364946e-22 -1.866383453886e-22 -8.560139563226e-01) (1.024411452255e-17 -1.233833628358e-17 9.334721123245e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.205               	((-1.076745180918e-02 -1.059081098805e-01 -1.598228925411e-23) (-1.562844899435e-01 2.301643679709e-05 -2.595175598774e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-9.649299939343e-23 1.640151947119e-22 -8.293736620544e-01) (-1.529127787141e-18 2.461700607523e-18 9.378615962376e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.21                	((-1.226752917503e-02 -1.042861744676e-01 3.188592859330e-23) (-1.575991704007e-01 3.394230937597e-05 -1.195749682977e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.922691219971e-22 -2.584385906462e-22 -8.218748403566e-01) (-7.175138504791e-18 1.124167849319e-17 9.458066611146e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
