# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous porous)	moments(pressure viscous porous)
0.66                	((1.042671879181e-01 -5.587658551581e-01 9.156535478344e-20) (4.913631724915e-02 1.072793182424e-02 -1.960854049422e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((6.001345701984e-19 -8.706406225504e-19 -4.080220147336e+00) (-1.173255408380e-18 1.354062700494e-18 -2.214487554130e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.665               	((9.272555595111e-02 -4.728590529176e-01 -1.078628511119e-19) (4.475108869520e-02 1.134381994909e-02 -4.961345387894e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-6.795442783233e-19 8.603687583743e-19 -3.303460412988e+00) (-3.930444976183e-19 6.892853139957e-19 -1.883958496081e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.67                	((8.131613241606e-02 -3.858998046327e-01 1.693490165396e-20) (4.120049202355e-02 1.252111473657e-02 1.550445653064e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.442519486365e-19 -3.057705609302e-19 -2.527821369644e+00) (1.011492931371e-17 -1.421741572882e-17 -1.552491235769e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.675               	((7.245409201976e-02 -3.092344100680e-01 -1.024338221704e-19) (3.864982514973e-02 1.381247032884e-02 9.401923366266e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-6.708091639209e-19 9.561366015659e-19 -1.861553105489e+00) (5.351610009433e-19 -5.225326958038e-19 -1.273643493222e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.68                	((6.977842687113e-02 -2.596870359171e-01 -2.216497285484e-19) (3.759647423932e-02 1.559988370337e-02 -3.016675351405e-21) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.418526400089e-18 1.874997352885e-18 -1.468618036213e+00) (-1.318783935136e-21 -3.305737155065e-20 -1.042470874020e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.685               	((7.713410300654e-02 -2.542940996959e-01 3.773023764864e-20) (3.749409754671e-02 1.852119054677e-02 -1.247783868978e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.634179868774e-19 -4.251702705747e-19 -1.517128659294e+00) (-8.306417391306e-18 1.182508005273e-17 -7.658924534900e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.69                	((9.279311498415e-02 -2.820933721845e-01 1.913110993797e-19) (3.864542171056e-02 2.176027720847e-02 1.313057595146e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.196308794210e-18 -1.428944775108e-18 -1.923800139308e+00) (8.786478010478e-18 -1.256871146295e-17 -5.423288549683e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.695               	((1.132352988528e-01 -3.260992828189e-01 1.615491949220e-19) (4.061822227130e-02 2.430305808994e-02 -4.679252041952e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.829547386490e-19 -1.074254695226e-18 -2.542150260853e+00) (-3.320326202651e-19 4.437085933855e-19 -4.367381661427e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.7                 	((1.373196795376e-01 -3.852307215826e-01 -1.907406285379e-19) (4.257625864654e-02 2.573937953779e-02 -9.082625549524e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.203718017433e-18 1.454716513453e-18 -3.350811442002e+00) (-6.051553015091e-18 8.618248944435e-18 -4.329082713843e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.705               	((1.610997746820e-01 -4.445254642167e-01 1.373880372626e-19) (4.336881943107e-02 2.600969804603e-02 -1.078944761823e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((8.514578433766e-19 -1.009422609137e-18 -4.203820572420e+00) (-7.143350563609e-18 1.006841161496e-17 -4.681994091884e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.71                	((1.778439764273e-01 -4.743083079684e-01 8.063658411132e-20) (4.203737845111e-02 2.470905530191e-02 7.429782926730e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.709598709276e-19 -4.467259873934e-19 -4.813873112581e+00) (5.040736691787e-18 -7.391429314464e-18 -5.038484245518e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.715               	((1.834890879547e-01 -4.571092110598e-01 7.803651824301e-20) (3.843479859631e-02 2.211087667272e-02 4.857993807953e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((5.281402643267e-19 -7.535413395037e-19 -4.999240056407e+00) (3.172566165662e-18 -4.281264863397e-18 -5.083177402763e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.72                	((1.766772522567e-01 -3.820811453411e-01 7.839946534668e-20) (3.298074087676e-02 1.891942848314e-02 4.013169848648e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.611899502052e-19 -4.828352025050e-19 -4.653485707960e+00) (2.692970134953e-18 -3.790735028133e-18 -4.435150059287e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.725               	((1.584694336487e-01 -2.503747693421e-01 -2.551761736593e-19) (2.616958678159e-02 1.517485797671e-02 2.211584449715e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.613332909111e-18 1.983938235215e-18 -3.778191362360e+00) (1.451059301970e-18 -1.990706078278e-18 -3.377581414015e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.73                	((1.294160321549e-01 -5.895706798443e-02 7.719969866102e-20) (1.847051400281e-02 1.128400750673e-02 1.106844552681e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.947811680723e-19 -6.350698032726e-19 -2.352219244767e+00) (9.109336729524e-19 -1.784806737901e-18 -1.854486750442e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.735               	((9.229816495584e-02 1.858221773736e-01 1.632265115039e-19) (1.159044007661e-02 7.510507399059e-03 1.869729264874e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.029173435597e-18 -1.265120257022e-18 -4.489662209685e-01) (1.200979835235e-18 -1.570341130128e-18 -7.857112227975e-03) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.74                	((4.739983738538e-02 4.827990392238e-01 -1.464376073829e-20) (5.962182285511e-03 3.871967989171e-03 1.471062163978e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.009078847769e-19 1.318064848736e-19 1.922533758690e+00) (2.347635274354e-20 2.319123135562e-19 -4.264473556852e-03) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.745               	((-2.618664503363e-03 8.209451537846e-01 -2.459821960948e-20) (2.944359009874e-03 8.623090082497e-04 -5.754069319763e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.405963211965e-19 1.292512198851e-19 4.653918491028e+00) (-3.833480145269e-18 5.475571632245e-18 -1.196491833624e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.75                	((-5.172101303697e-02 1.170015558084e+00 1.007730824360e-19) (2.747708715366e-03 -1.262132550956e-03 -3.093834400946e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((6.312273689562e-19 -7.713380347291e-19 7.463691893197e+00) (-1.995586842595e-18 2.691461015364e-18 -3.007866565565e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.755               	((-9.623043250166e-02 1.512668023570e+00 5.768604819742e-20) (5.660931881761e-03 -1.990428316887e-03 3.783894924670e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.864751533487e-19 -5.222573778444e-19 1.018333800748e+01) (2.440802220406e-18 -3.278633218946e-18 -5.599965174661e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.76                	((-1.356238433205e-01 1.844169430035e+00 1.431178938336e-19) (1.243785329567e-02 -1.523243878374e-03 -2.627211077095e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.407817044658e-19 -1.294956501751e-18 1.276274819057e+01) (-1.681321137528e-18 2.261389797193e-18 -9.618916017083e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.765               	((-1.715396281861e-01 2.168490008460e+00 1.884188600491e-19) (2.208069733158e-02 -7.341057478116e-05 3.983758637494e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.187094041831e-18 -1.441331349662e-18 1.524672876832e+01) (2.672379325164e-18 -3.968511028864e-18 -1.463709396144e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.77                	((-2.055204889876e-01 2.489757329472e+00 6.031325076361e-20) (3.378219278537e-02 1.582555063333e-03 -2.569649546504e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.576109456409e-19 -3.764420089698e-19 1.767888195969e+01) (-1.677133607350e-18 2.320976640656e-18 -2.078505671378e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.775               	((-2.358896644429e-01 2.794736315787e+00 1.507349267448e-19) (4.621214215184e-02 3.322681031727e-03 -2.936434637888e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.605521686795e-19 -1.298167505097e-18 1.996127377954e+01) (-1.957864653223e-18 2.970756907067e-18 -2.730517210767e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.78                	((-2.666585714829e-01 3.105400906774e+00 -1.163407284702e-19) (5.821188474116e-02 4.797248399680e-03 4.010015370620e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-7.528129595338e-19 1.061345538858e-18 2.230111631930e+01) (2.535072915410e-18 -3.239049105595e-18 -3.374645186665e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.785               	((-2.986586811932e-01 3.424863735392e+00 -2.264896083719e-19) (6.902456079039e-02 5.566149729277e-03 -5.371561108032e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.441185940417e-18 1.899645937471e-18 2.474218488750e+01) (-3.470498699906e-18 4.782179846379e-18 -4.000664684045e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.79                	((-3.321298025404e-01 3.761749763562e+00 -1.367851936225e-19) (7.755172020394e-02 7.150426937818e-03 -2.566907696869e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-9.034255236086e-19 1.334661923103e-18 2.736868215663e+01) (-1.689495233522e-17 2.453799835132e-17 -4.395069478792e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.795               	((-3.659273746435e-01 4.103584286639e+00 7.694320194222e-20) (8.474950174237e-02 7.818483936310e-03 -8.728246984771e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.933625256827e-19 -6.219118057586e-19 3.006357905312e+01) (-5.732421998016e-18 8.268506368385e-18 -4.784296026578e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.8                 	((-3.969572485365e-01 4.422010036931e+00 9.410904429524e-20) (8.983387686361e-02 7.782276730844e-03 8.192733558373e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((6.007873351605e-19 -7.958736347870e-19 3.257699052815e+01) (5.299608007940e-18 -7.268147356333e-18 -5.101090137379e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.805               	((-4.250007828670e-01 4.714906606880e+00 3.473081762891e-21) (9.304751866249e-02 7.961601975439e-03 4.815027778318e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.803157483264e-20 -7.698067012417e-20 3.489967662839e+01) (3.176622661434e-18 -4.571458557404e-18 -5.275559781430e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.81                	((-4.453260650099e-01 4.935613848838e+00 4.100414030847e-20) (9.464766829610e-02 7.382117624810e-03 -1.088409044999e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.435777028506e-19 -2.393604294540e-19 3.662308133871e+01) (-7.118596313997e-18 1.013232456066e-17 -5.417133567060e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.815               	((-4.586576343205e-01 5.078352443754e+00 3.436927647648e-19) (9.515379516795e-02 6.208241550698e-03 1.207104250171e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.147160924389e-18 -2.630243818563e-18 3.772852607345e+01) (7.734541721103e-18 -1.054252299069e-17 -5.544304356697e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.82                	((-4.625285756269e-01 5.128213502865e+00 1.410332420605e-19) (9.522860473775e-02 4.759448729220e-03 5.485308055913e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.053219576684e-19 -1.275205215194e-18 3.807207690655e+01) (3.502476145976e-18 -4.590921347545e-18 -5.671554365058e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.825               	((-4.589889851170e-01 5.095581339650e+00 -7.912454524841e-20) (9.542080717230e-02 3.154239450266e-03 1.346762891707e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.718995229749e-19 4.269399618557e-19 3.776875098650e+01) (8.620278028017e-18 -1.158493420090e-17 -5.822451773942e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.83                	((-4.490306928689e-01 4.987416794677e+00 1.289030855937e-19) (9.594346610918e-02 1.476143605325e-03 2.296348784853e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((7.991583560324e-19 -9.461226380611e-19 3.687937121184e+01) (1.480057543736e-17 -2.061336822590e-17 -6.003463187524e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.835               	((-4.345111540573e-01 4.816969393251e+00 1.761894278879e-19) (9.709772597143e-02 1.025254302077e-04 6.930063213038e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.069543391689e-18 -1.141652292067e-18 3.552266037049e+01) (4.411167360916e-18 -5.802951470558e-18 -6.200065149323e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.84                	((-4.144587881330e-01 4.579076322913e+00 -1.358645954395e-19) (9.876169966867e-02 -8.169042598460e-04 2.335885315967e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-8.597343846219e-19 1.118006178747e-18 3.364979074558e+01) (1.351940397775e-18 -9.326224665573e-19 -6.391973643606e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.845               	((-3.842162927807e-01 4.248243253701e+00 1.410962662673e-19) (1.007594550000e-01 -9.813432503414e-04 -7.483030798667e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((8.916130137496e-19 -1.116758395067e-18 3.102108058890e+01) (-4.820240445221e-18 6.648391448118e-18 -6.540584382351e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.85                	((-3.379070839712e-01 3.790037141202e+00 1.377935947090e-20) (1.026388823380e-01 -6.772720867243e-04 -5.759694303313e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.287134795592e-19 -3.567622838673e-19 2.733736322120e+01) (-3.814065882427e-18 5.667749251249e-18 -6.644639606677e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.855               	((-2.735878369125e-01 3.209763456042e+00 2.375585924794e-19) (1.036383862776e-01 -2.320292582142e-04 8.159671596456e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.468378310409e-18 -1.699116390465e-18 2.262763372903e+01) (5.661080340029e-19 -9.610523877399e-19 -6.685731836758e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.86                	((-1.924112894823e-01 2.535015808556e+00 -9.514531364523e-20) (1.028294654555e-01 -3.303454234696e-07 7.825116666205e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.839232385642e-19 6.323649502573e-19 1.712482430651e+01) (5.169658049129e-18 -7.521077325428e-18 -6.634924089157e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.865               	((-9.302564634307e-02 1.784929599976e+00 8.365301741942e-20) (9.939548933690e-02 -2.054108308776e-05 -2.957939997165e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((5.810061400455e-19 -9.366802999302e-19 1.096654068753e+01) (-1.957709622858e-17 2.762086812691e-17 -6.440899101357e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.87                	((2.956258517949e-02 9.519163882691e-01 -6.066095249083e-20) (9.261129777419e-02 -1.137007552997e-03 -2.667415856264e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-4.289513379671e-19 6.928139413387e-19 4.073837993163e+00) (-1.789209148183e-17 2.555042485533e-17 -6.124123101555e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.875               	((1.809547676271e-01 3.351511723229e-02 -1.468552496035e-19) (8.195044688477e-02 -3.086473159485e-03 9.797003203092e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-9.911493538306e-19 1.453541091649e-18 -3.617192680119e+00) (6.647336162708e-18 -9.802984594865e-18 -5.624280360641e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.88                	((3.627109843206e-01 -9.479418107619e-01 5.040212356425e-20) (6.729137712827e-02 -5.438011243591e-03 -1.042740119453e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.163161215063e-19 -3.175999693218e-19 -1.196405584473e+01) (-6.988984453924e-18 9.733679057696e-18 -4.893815659756e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.885               	((5.711013314507e-01 -1.948129242540e+00 1.445225437958e-19) (4.947031481316e-02 -8.347588907182e-03 -1.206672178655e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.485661173730e-19 -1.214649120371e-18 -2.061811709298e+01) (-8.417605456251e-18 1.227399247725e-17 -3.995457415859e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.89                	((7.957447739970e-01 -2.906132575366e+00 -2.735319688575e-19) (2.954765854521e-02 -1.194950910020e-02 -2.634824551173e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.701515998159e-18 1.921543727118e-18 -2.906085479659e+01) (-1.752323944507e-17 2.252770246990e-17 -3.004072448936e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.895               	((1.019556888928e+00 -3.753509637960e+00 3.602698302503e-19) (8.564030700541e-03 -1.643737178030e-02 2.551676407840e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.298777188134e-18 -2.731689935510e-18 -3.665328389633e+01) (1.730206307563e-17 -2.268480722152e-17 -2.000925603887e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.9                 	((1.223485995959e+00 -4.431124784476e+00 -2.983733004997e-19) (-1.170493931112e-02 -2.107095205903e-02 1.481864604497e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.896487194694e-18 2.203972579055e-18 -4.282100653988e+01) (9.901687918380e-18 -1.243919400595e-17 -1.043726729333e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.905               	((1.389247504636e+00 -4.902235063764e+00 -4.324435540242e-20) (-3.006077204916e-02 -2.506244394980e-02 -3.451194610398e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.397585410565e-19 5.231700115275e-19 -4.715182439889e+01) (-2.355324987689e-17 2.997378218027e-17 -1.532696089247e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.91                	((1.500718736435e+00 -5.151490863191e+00 -2.668597878664e-20) (-4.628784627456e-02 -2.893931152671e-02 -3.767331072132e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.960564246506e-19 2.701928092321e-19 -4.941301950721e+01) (-2.577482918147e-17 3.253153150169e-17 6.090913977425e-02) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.915               	((1.541280943023e+00 -5.166913756569e+00 2.095623229989e-19) (-5.985095181453e-02 -3.196310556320e-02 1.516015937999e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.351191593494e-18 -1.554432829837e-18 -4.938851807622e+01) (1.044689894500e-17 -1.300245672256e-17 1.269727335745e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.92                	((1.499804136682e+00 -4.957274732839e+00 1.056052989795e-20) (-7.086357673661e-02 -3.327151728890e-02 -3.078640027747e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.270455707393e-19 -2.416925076811e-19 -4.706842252688e+01) (-2.233253658992e-17 2.924902769394e-17 1.913335930633e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.925               	((1.370909974874e+00 -4.538459173613e+00 -5.879636874138e-19) (-7.985429754476e-02 -3.222419223274e-02 -4.799117877273e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.890495442893e-18 4.633614190611e-18 -4.253936936388e+01) (-3.302304940470e-17 4.053827679992e-17 2.636135541477e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.93                	((1.164871709321e+00 -3.962574290677e+00 2.084102387339e-19) (-8.805755178208e-02 -3.131578778944e-02 -6.914941023315e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.445295537666e-18 -1.770590613323e-18 -3.626336680564e+01) (-4.905965433922e-17 6.123923204415e-17 3.301845342161e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.935               	((8.982706827132e-01 -3.280232502561e+00 1.617700609281e-19) (-9.668489844004e-02 -3.073524134679e-02 2.619498521231e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.123340733673e-18 -1.386084144712e-18 -2.874975817020e+01) (1.918051074276e-17 -2.453497390461e-17 3.967636391107e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.94                	((5.936166624012e-01 -2.543813631702e+00 -4.935315033231e-20) (-1.062540373871e-01 -3.115990918998e-02 4.182650288509e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.919292208004e-19 5.615467270694e-19 -2.055610763337e+01) (2.929742885970e-17 -3.573297644487e-17 4.612492500462e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.945               	((2.839941398438e-01 -1.824172229873e+00 5.599683790351e-20) (-1.153314863019e-01 -3.172345250024e-02 1.293508312441e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.909921555709e-19 -1.962798258928e-19 -1.244959895153e+01) (9.273249130945e-18 -1.160962290649e-17 5.208772088717e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.95                	((3.462654129863e-04 -1.172366053552e+00 2.545016644344e-19) (-1.229423966408e-01 -3.275528869582e-02 -2.048029733003e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.760500954820e-18 -2.121361703473e-18 -5.060655288937e+00) (-1.457303297343e-17 1.776528983301e-17 5.654444190269e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.955               	((-2.365651046895e-01 -6.300239431864e-01 -2.986986822647e-19) (-1.298756134729e-01 -3.475102523615e-02 3.345571343410e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.006400610955e-18 2.329840085907e-18 1.172002693736e+00) (2.401514340114e-17 -3.010813984890e-17 5.973787514719e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.96                	((-4.165599639664e-01 -2.069572074965e-01 -1.427301228398e-19) (-1.373681992828e-01 -3.755185165717e-02 -9.660772012694e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-9.012390091184e-19 1.007250465537e-18 6.089063867079e+00) (-6.338744358134e-18 7.441573222588e-18 6.259633413658e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.965               	((-4.802141373091e-01 -4.691443571060e-02 -3.423514880630e-20) (-1.435940708916e-01 -4.008956775361e-02 -7.345415638404e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.741983076949e-19 4.008256911032e-19 8.188791390994e+00) (-5.298304247090e-18 6.764688604810e-18 6.471718449290e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.97                	((-5.036754928582e-01 4.731141553291e-02 -3.934706227187e-20) (-1.486378585752e-01 -4.155743500739e-02 -9.771316872040e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.564133866033e-19 2.770599946462e-19 9.448492221673e+00) (-7.252556629134e-18 9.445966874556e-18 6.696276138001e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.975               	((-4.047218245464e-01 -1.302038754706e-01 -2.657597679892e-19) (-1.514368121445e-01 -4.184339660742e-02 2.779338928347e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.787231821455e-18 2.132985212717e-18 7.643917357621e+00) (1.938712814876e-17 -2.413324200916e-17 6.863309683250e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.98                	((-3.286275520447e-01 -2.425228904272e-01 2.695616220751e-19) (-1.513599924164e-01 -4.133077242890e-02 -1.566994482064e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.801217889615e-18 -2.182667133631e-18 6.457792435559e+00) (-3.847532844156e-19 -4.690889158152e-19 6.895713683970e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.985               	((-1.414863148159e-01 -6.630317082418e-01 -1.626647334224e-19) (-1.482062087964e-01 -3.925270858731e-02 4.058891506402e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.118505845630e-18 1.427024381444e-18 2.001143778502e+00) (2.837274258610e-17 -3.675572162674e-17 6.849301829269e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.99                	((6.905976736276e-02 -1.194936072953e+00 -1.964079318463e-19) (-1.395971332276e-01 -3.403128690177e-02 3.161687114750e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.334186325252e-18 1.692902422311e-18 -3.571148082188e+00) (2.122806081565e-17 -2.642789795987e-17 6.707822033648e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.995               	((2.921881286109e-01 -1.834979030218e+00 -2.928662745005e-19) (-1.253515988604e-01 -2.848521742045e-02 5.811425439126e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.861909938961e-18 2.169123723994e-18 -1.017008526103e+01) (3.920634423781e-18 -5.023499985555e-18 6.208433585843e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
1                   	((5.158379611471e-01 -2.577536676246e+00 -5.327402783385e-20) (-1.072720628611e-01 -2.425091950887e-02 -6.153221743055e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-3.363450418677e-19 3.731521716428e-19 -1.765349723654e+01) (-4.309973282393e-17 5.913365775889e-17 5.314430094080e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
